날짜,스트레스,이직
2025-01-17,67.39345,39.44499
2025-01-18,58.87016,25.27254
2025-01-19,58.87016,25.86719
2025-01-20,74.03369,40.33696
2025-01-21,65.70862,39.24677
2025-01-22,71.75421,37.95837
2025-01-23,70.86223,41.72447
2025-01-24,67.88899,36.37264
2025-01-25,55.89692,25.66897
2025-01-26,64.71754,17.44301
2025-01-27,64.12289,18.73141
2025-01-28,52.82457,17.64122
2025-01-29,50.04955,17.93855
2025-01-30,55.50049,19.72249
2025-01-31,57.97819,34.98513
2025-02-01,55.00495,23.58771
2025-02-02,63.23092,25.27254
2025-02-03,62.63627,47.86917
2025-02-04,66.89791,43.70664
2025-02-05,66.89791,43.50842
2025-02-06,69.77205,44.99504
2025-02-07,62.93359,36.47175
2025-02-08,58.37462,25.47076
2025-02-09,60.25768,26.95738
2025-02-10,68.18632,41.42715
2025-02-11,67.39345,42.0218
2025-02-12,76.41228,41.82358
2025-02-13,77.20515,41.52626
2025-02-14,78.79088,39.94053
2025-02-15,65.41129,23.38949
2025-02-16,70.96134,24.18235
2025-02-17,75.91674,43.50842
2025-02-18,74.23191,38.3548
2025-02-19,78.49355,40.8325
2025-02-20,81.86323,36.86818
2025-02-21,73.73637,39.64321
2025-02-22,66.40237,22.79484
2025-02-23,66.10505,24.47968
2025-02-24,76.51139,46.18434
2025-02-25,79.0882,43.3102
2025-02-26,82.16055,38.3548
2025-02-27,79.38553,40.13875
2025-02-28,68.97918,36.76907
2025-03-01,61.8434,21.20911
2025-03-02,62.53716,19.62338
2025-03-03,68.48364,23.29038
2025-03-04,78.19623,44.40039
2025-03-05,74.82656,40.23785
2025-03-06,78.79088,41.03072
2025-03-07,75.71853,37.0664
2025-03-08,65.60951,20.81268
2025-03-09,69.87115,22.59663
2025-03-10,75.52031,36.66997
2025-03-11,73.24083,38.75123
2025-03-12,83.84539,37.66105
2025-03-13,83.84539,37.36372
2025-03-14,77.00693,30.72348
2025-03-15,67.29435,20.81268
2025-03-16,72.44796,22.10109
2025-03-17,83.25074,38.3548
2025-03-18,84.63825,37.26461
2025-03-19,82.95341,38.85034
2025-03-20,83.94449,34.19226
2025-03-21,80.87215,27.75024
2025-03-22,67.9881,19.8216
2025-03-23,65.90683,21.60555
2025-03-24,79.18731,39.34588
2025-03-25,84.44003,37.16551
2025-03-26,81.46679,35.77799
2025-03-27,81.16947,36.86818
2025-03-28,75.71853,34.48959
2025-03-29,64.12289,21.11
2025-03-30,68.88007,20.91179
2025-03-31,78.49355,35.67888
2025-04-01,74.33102,38.85034
2025-04-02,71.85332,33.89494
2025-04-03,79.28642,31.81367
2025-04-04,66.20416,28.04757
2025-04-05,62.04162,21.60555
2025-04-06,64.12289,17.93855
2025-04-07,77.50247,33.10208
2025-04-08,77.70069,35.28245
2025-04-09,82.25966,34.19226
2025-04-10,75.71853,34.48959
2025-04-11,73.73637,29.83151
2025-04-12,64.81665,15.95639
2025-04-13,64.42021,16.94747
2025-04-14,69.07829,34.6878
2025-04-15,76.80872,35.77799
2025-04-16,80.17839,31.21902
2025-04-17,76.41228,33.49851
2025-04-18,69.97026,29.43508
2025-04-19,63.72646,15.16352
2025-04-20,58.67195,19.42517
2025-04-21,75.12388,36.07532
2025-04-22,76.01585,44.89593
2025-04-23,74.1328,34.88602
2025-04-24,77.60158,31.51635
2025-04-25,66.50148,28.04757
2025-04-26,65.01486,15.85728
2025-04-27,64.51932,16.0555
2025-04-28,73.33994,33.10208
2025-04-29,77.10604,31.31813
2025-04-30,70.56491,30.9217
2025-05-01,68.97918,22.00198
2025-05-02,66.6997,25.07433
2025-05-03,55.99603,13.77601
2025-05-04,55.50049,12.88404
2025-05-05,58.37462,12.78493
2025-05-06,58.17641,14.76709
2025-05-07,76.41228,32.60654
2025-05-08,68.28543,29.03865
2025-05-09,73.63726,28.74132
2025-05-10,68.48364,18.33498
2025-05-11,62.53716,18.33498
2025-05-12,82.25966,34.19226
2025-05-13,75.3221,35.97621
2025-05-14,83.94449,34.09316
2025-05-15,74.62834,30.12884
2025-05-16,70.4658,27.84935
2025-05-17,64.32111,14.8662
2025-05-18,62.53716,17.74033
