,id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
5477,146738,Chateau Cantelauze,Chateau Cantelauze,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2001,750
5482,146743,"Domaine Pfister, Pinot Noir Barriques",Domaine Pfister,France,Alsace,Pinot Noir,Red,Table,13.5,8~11,SWEET1,ACIDITY3,BODY3,TANNIN2,97500,2004,750
5484,146745,Chateau Barthez,Chateau Barthez,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,59000,2014,750
5491,146753,Chateau Segur de Cabanac,Chateau Segur de Cabanac,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2016,750
5494,146756,"Castel, Cote du Rhone Comtat",CASTEL Groupe CASTEL,France,Rhone,Grenache,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2006,750
5497,146760,"Castello del Terriccio, Castello del Terriccio",Castello del Terriccio,Italy,Toscana,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,380000,2005,750
5498,146761,"Castello del Terriccio, Capannino",Castello del Terriccio,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,58000,2008,750
5499,146762,"Castello del Terriccio, Tassinaia",Castello del Terriccio,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,166000,2005,750
5507,146770,"Fattoria le Pupille, Pelofino Maremma",Fattoria le Pupille,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,64000,2008,750
5508,146771,"Fattoria Le Pupille, Morellino di Scansano",Fattoria le Pupille,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,76000,2006,750
5509,146772,"Fattoria Le Pupille, Poggio Valente",Fattoria le Pupille,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,168000,2005,750
5512,146775,"Albino Rocca, Barbaresco Vigneto Loreto",Albino Rocca,Italy,Piemonte,Nebbiolo,Red,Table,14,15~17,SWEET1,ACIDITY4,BODY3,TANNIN4,240000,2005,750
5513,146776,"Aldo & Riccardo Seghesio, Seghesio Barolo 'La Villa'",Aldo  Riccardo Seghesio,Italy,Piemonte,Nebbiolo,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,252000,2005,750
5515,146778,"Paolo Scavino, Barolo Bric del Fiasc",Paolo Scavino,Italy,Piemonte,Nebbiolo,Red,Table,14.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN5,338000,2015,750
5516,146780,"Paolo Scavino, Barolo Carobric",Paolo Scavino,Italy,Piemonte,Nebbiolo,Red,Table,14.5,15~17,SWEET1,ACIDITY4,BODY4,TANNIN5,400000,2004,750
5517,146781,"Paolo Scavino, Barolo Brico Ambrogio",Paolo Scavino,Italy,Piemonte,Nebbiolo,Red,Table,14.5,15~17,SWEET1,ACIDITY4,BODY4,TANNIN4,340000,2004,750
5518,146782,"Paolo Scavino, Langhe Nebbiolo",Paolo Scavino,Italy,Piemonte,Nebbiolo,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,150000,2006,750
5523,146788,"Sunset Creek, Zinfandel",Sunset Creek,USA,California,Zinfandel,Red,Table,13.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2006,750
5526,146791,"Melini, Chianti",Melini Wine,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2006,750
5527,146792,"Melini, Chianti Classico",Melini Wine,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2015,750
5530,146795,"Melini, GranaioChianti Classico",Melini Wine,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
5531,146796,"Melini, I Coltri",Melini Wine,Italy,Toscana,Sangiovese,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2006,750
5534,146799,"Nino Negri, Diaul",Nino Negri,Italy,Lombardia,Nebbiolo,Red,Table,12.8,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2004,750
5535,146800,Nino Negri Mazer,Nino Negri,Italy,Lombardia,Nebbiolo,Red,Table,13.8,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2004,750
5536,146801,Nino Negri  Le Tense Sassella,Nino Negri,Italy,Lombardia,Nebbiolo,Red,Table,13.7,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
5541,146806,Chateau Comte Saint Martin,Chateau Comte Saint Martin,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2016,750
5542,146807,Chateau du Bousquet,Chateau Du Bousquet,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,64000,2011,750
5544,146809,Chateau Le Bruilleau,Chateau Le Bruilleau,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2002,750
5546,146811,Laboure Roi  Petit Bistro Merlot,Laboure Roi Domaine Laboure Roi,France,Southern France,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2009,750
5547,146812,Laboure Roi  Petit Bistro Syrah,Laboure Roi Domaine Laboure Roi,France,Southern France,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,26000,2011,750
5549,146814,Laboure Roi  Bourgogne Rouge,Laboure Roi Domaine Laboure Roi,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,40000,2010,750
5553,146818,Laboure Roi  Pommard Le Taillefer,Laboure Roi Domaine Laboure Roi,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,138000,2004,750
5554,146819,"Laboure Roi, Gevrey Chambertin",Laboure Roi Domaine Laboure Roi,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,126000,2009,750
5556,146821,Laboure Roi Clos de Vougeot Grand Cru,Laboure Roi Domaine Laboure Roi,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN3,430000,2004,750
5558,146823,"Frescobaldi, Danzante Merlot",Frescobaldi,Italy,Sicilia,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,0,2006,750
5565,146832,"Laboure Roi, Terroir Bourgogne Rouge",Laboure Roi Domaine Laboure Roi,France,Bourgogne,Pinot Noir,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2007,750
5572,146839,"Petra, Zingari",Petra,Italy,Toscana,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,46000,2017,750
5584,146853,"Brokenwood, Cricket Pitch  Cabernet Sauvignon Merlot",Brokenwood,Australia,Cabernet Sauvignon,Merlot,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,54000,2006,750
5586,146855,"Brokenwood, Hunter Valley Shiraz",Brokenwood,Australia,New South Wales,Syrah & Shiraz,Red,Table,13.5,17~20,SWEET1,ACIDITY3,BODY3,TANNIN4,99000,2007,750
5587,146856,"Brokenwood, Wade Block 2 Shiraz",Brokenwood,Australia,South Australia,Syrah & Shiraz,Red,Table,15,16~19,SWEET1,ACIDITY3,BODY4,TANNIN4,118000,2005,750
5588,146857,"Brokenwood, Graveyard Vineyard  Shiraz",Brokenwood,Australia,New South Wales,Syrah & Shiraz,Red,Table,13.5,17~20,SWEET1,ACIDITY3,BODY5,TANNIN4,276000,2006,750
5590,146859,il est Q Bordeaux Red,UNIVITIS EN BORDEAUX,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30000,2006,750
5593,146862,"Louis Latour, Aloxe Corton",Louis Latour,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN2,180000,2012,750
5594,146863,Louis Latour Marsannay,Louis Latour,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,70000,2012,750
5595,146864,"Castello di Verrazzano, Rosso di Verrazzano",Castello di Verrazzano,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,39000,2012,750
5597,146866,Chateau de Pommard,Chateau de Pommard,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,370000,2005,750
5598,146867,Podere Poggio Scalette Il Carbonaione,Poggio Scalette,Italy,Toscana,Sangiovese,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,250000,2011,750
5599,146868,"Tua Rita, Syrah",Tua Rita,Italy,Toscana,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,500000,2011,750
5603,146876,Stella di Campalto Rosso de Montalcino 'Bio',S Azienda Agricola SGuiseppe,Italy,Toscana,Sangiovese,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,150000,2011,750
5610,146883,Chateau Meaume,Chateau Meaume,France,Bordeaux,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,33000,2007,750
5611,146884,Chateau Begadan,Chateau Begadan,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,37000,2006,750
5612,146885,Chateau Aney d'Arnaussan,Chateau Aney dArnaussan,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,57000,2005,750
5613,146886,Chateau Chene Vieux,Chateau Chene Vieux,France,Bordeaux,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,51000,2007,750
5614,146887,"Casas Patronales, Monte Sur Reserve Carmenere",Casas Patronales,Chile,Central Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,28000,2008,750
5618,146891,"Leyda,  Reserva Merlot",Leyda,Chile,Rapel Valley,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,43000,2008,750
5619,146892,"Leyda, Reserva Syrah",Leyda,Chile,Rapel Valley,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,43000,2008,750
5620,146893,"Leyda, Reserva Carmenere",Leyda,Chile,Rapel Valley,Carmenere,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,43000,2007,750
5623,146897,"Leyda, Single Vineyard Pinot Noir",Leyda,Chile,Aconcagua,Pinot Noir,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN2,95000,2008,750
5624,146898,"Santa Isabel,  Malbec",Bodegas Nieto Senetiner,Argentina,Mendoza,Malbec,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN4,28000,2008,750
5629,146903,"Nieto Senetiner, Don Nicanor Malbec",Bodegas Nieto Senetiner,Argentina,Mendoza,Malbec,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,70000,2007,750
5630,146905,"Attems, Merlot",Attems,Italy,,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750
5631,146906,"Castel, Terroir Bordeaux",CASTEL Groupe CASTEL,France,Bordeaux,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750
5633,146908,"Castel, Terroir Saint Emilion",CASTEL Groupe CASTEL,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750
5634,146909,Chateau La Bonnelle,Olivier Sulzer,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2014,750
5635,146910,Chateau La Croix De Marbuzet,SCEA    SCEA Croix de Maurbuzet,France,Bordeaux,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,90000,2005,750
5636,146911,Chateau La Grande Clotte,Chateau La Grande Clotte,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2009,750
5637,146912,Chateau Marsac Seguineau,Chateau Marsac Seguineau,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,110000,2006,750
5638,146915,"Paul Jaboulet Aine, Hermitage La Petite Chapelle",Paul Jaboulet Aine,France,Rhone,Syrah & Shiraz,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,290000,2012,750
5641,146922,"Arietta, Variation One",Arietta,USA,California,Syrah & Shiraz,Red,Table,,,SWEET1,ACIDITY4,BODY5,TANNIN4,260000,2007,750
5643,146926,"Joseph Phelps, Freestone Pinot Noir",Joseph Phelps Vineyards,USA,California,Pinot Noir,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,170000,2018,750
5647,146932,Spice Route Chakalaka,Fairview,the Republic of South Africa,Syrah  Shiraz,Grenache,Red,Table,14.5,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2009,750
5648,146933,Place Royalle Bordeaux,Union de Producteurs de SaintEmilion,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
5649,146934,"Mahler Besse, Taja Monastrell",Mahler Besse,Spain,Jumilla,Monastrell,Red,Table,14,10~16,SWEET1,ACIDITY3,BODY5,TANNIN3,0,2008,750
5650,146935,"Philippe Pacalet, Nuits St Georges",Philippe Pacalet,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,304000,2007,750
5651,146936,"Philippe Pacalet, Pommard",Philippe Pacalet,France,Bourgogne,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,336000,2008,750
5652,146937,"Philippe Pacalet, Chambolle Musigny 1er Cru",Philippe Pacalet,France,Bourgogne,Pinot Noir,Red,Table,,,SWEET1,ACIDITY5,BODY3,TANNIN2,430000,2007,750
5653,146938,"Philippe Pacalet, Ruchottes Chambertin Grand Cru",Philippe Pacalet,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY4,TANNIN3,950000,2007,750
5659,146944,"Graffigna, Centenario Malbec",Graffigna,Argentina,San Juan,Malbec,Red,Table,14.5,16~19,SWEET1,ACIDITY3,BODY3,TANNIN3,28000,2005,750
5662,146947,"Graffigna, Grand Reserve Malbec",Graffigna,Argentina,San Juan,Malbec,Red,Table,14.5,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,35000,2008,750
5665,146950,Ysios Reserva,Ysios,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,109000,2004,750
5668,146953,"Gordon Brothers, Merlot",Gordon Brothers,USA,Washington State,Merlot,Red,Table,13.7,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2007,750
5673,146958,"Whitehall Lane, Merlot",Whitehall Lane Winery,USA,California,Merlot,Red,Table,14.2,16~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
5677,146962,"Greyrock, Pinot Noir",Greyrock,New Zealand,North Island,Pinot Noir,Red,Table,12.5,16~18,SWEET1,ACIDITY5,BODY3,TANNIN3,57000,2013,750
5679,146964,Chateau Plain Point,Chateau PlainPoint,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2005,750
5680,146965,Chateau Angelique,Chateau PlainPoint,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2006,750
5684,146969,"Taurino, Reserva Merlot",Taurino,Chile,Rapel Valley,Merlot,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2006,750
5685,146970,"Taurino, Reserva Carmenere",Taurino,Chile,Rapel Valley,Carmenere,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2007,750
5687,146972,"Taurino, Varietal Merlot",Taurino,Chile,Rapel Valley,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,0,2007,750
5690,146975,"Domaine des Rouges Queues, Bourgogne Hautes Cotes de Beaune Red",Domaine des RougesQueues,France,Bourgogne,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY5,BODY2,TANNIN2,86000,2007,750
5691,146976,"Domaine des Rouges Queues, Santenay Red",Domaine des RougesQueues,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,106000,2007,750
5692,146977,"Domaine des Rouges Queues, Maranges Red",Domaine des RougesQueues,France,Bourgogne,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,110000,2007,750
5697,146982,"Aldo Conterno, Barolo Colonnello",Aldo Conterno Poderi Aldo Conterno,Italy,Piemonte,Nebbiolo,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,510000,2013,750
5698,146983,"Aldo Conterno, Barolo Romirasco",Aldo Conterno Poderi Aldo Conterno,Italy,Piemonte,Nebbiolo,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY4,TANNIN5,980000,2015,750
5702,146987,"Bodegas Care, Crianza",Bodegas Care,Spain,Carinena,Tempranillo,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,38000,2017,750
5703,146988,"Bodegas Care, Joven",Bodegas Care,Spain,Carinena,Syrah & Shiraz,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2007,750
5704,146989,"Bodegas Castano, Monastrell",Bodegas Castano,Spain,Yecla,Monastrell,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2009,750
5705,146990,"Bodegas Castano, Dominio Espinal Tinto",Bodegas Castano,Spain,Yecla,Monastrell,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,0,750
5707,146992,"Bodegas Castano, Dulce Tinto",Bodegas Castano,Spain,Yecla,Monastrell,Red,Dessert,16,10~12,SWEET4,ACIDITY2,BODY3,TANNIN2,75000,2016,750
5708,146994,"Bodegas Muga, Aro",Muga Bodegas Muga,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,600000,2015,750
5710,146998,"Sierra Salinas, Mo Monastrell",Sierra Salinas,Spain,Alicante,Monastrell,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750
5711,146999,"Sierra Salinas, Puerto Salinas",Sierra Salinas,Spain,Alicante,Monastrell,Red,Table,15,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2004,750
5712,147000,"Domaine Antonin Guyon, Aloxe Corton 1er Cru 'Les Fournieres'",Antonin GuyonDomaine Antonin Guyon,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2014,750
5713,147001,"Domaine Antonin Guyon, Corton Bressandes Grand Cru",Antonin GuyonDomaine Antonin Guyon,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN2,340000,2013,750
5714,147002,"Domaine Antonin Guyon, Corton 'Clos du Roy' Grand Cru",Antonin GuyonDomaine Antonin Guyon,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2006,750
5721,147009,Chateau Senailhac,Chateau Senailhac,France,Bordeaux,Merlot,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2004,750
5723,147011,"Concha y Toro, Gran Reserva Carmenere",Concha y Toro,Chile,Rapel Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,60000,2016,750
5724,147012,Chateau Canon la Gaffeliere,Chateau Canon la Gaffeliere 1st Grand Cru ClasseB,France,Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,180000,2017,750
5726,147014,"Santo Isidro de Pegoes, Red",Adega de Pegoes,Portugal,Setubal Peninsula,Castelao,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2006,750
5727,147015,Chateau Tour Puyblanquet,Chateau Tour Puyblanquet,France,Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,55000,2016,750
5728,147020,"Thunevin, Bad Boy",Thunevin,France,Bordeaux,Merlot,Red,"Table, Dessert",13~14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2015,750
5729,147025,"Domaine Fougeray de Beauclair, Marsannay 'Saint Jacques'",Domaine Fougeray de Beauclair,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2006,750
5730,147026,"Domaine Fougeray de Beauclair, Fixin 'Clos Marion' Monopole",Domaine Fougeray de Beauclair,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2006,750
5731,147027,"Domaine Fougeray de Beauclair, Bonnes Mares Grand Cru",Domaine Fougeray de Beauclair,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2007,750
5732,147028,"Domaine Berthaut, Fixin 'Les Clos'",Domaine Berthaut,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2005,750
5733,147029,"Domaine Berthaut, Fixin 1er Cru 'Les Arvelets'",Domaine Berthaut,France,Bourgogne,Pinot Noir,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2006,750
5734,147030,"Domaine Berthaut, Gevrey Chambertin 'Clos des Chezeaux'",Domaine Berthaut,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2006,750
5735,147031,"Domaine Berthaut, Gevrey Chambertin 1er Cru 'Les Cazetiers'",Domaine Berthaut,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2006,750
5736,147032,"Harmand Geoffroy, Gevrey-Chambertin Vieilles Vignes ",Harmand Geoffroy,France,Bourgogne,Pinot Noir,Red,Table,13,14~16,SWEET1,ACIDITY4,BODY5,TANNIN4,257000,2017,750
5737,147033,"Harmand Geoffroy, Gevrey-Chambertin 1er Lavaux St-Jacques",Harmand Geoffroy,France,Bourgogne,Pinot Noir,Red,Table,13,14~16,SWEET1,ACIDITY4,BODY4,TANNIN4,404000,2017,750
5738,147034,"Harmand Geoffroy, Gevrey Chambertin 1er Cru 'Les Champeaux'",Harmand Geoffroy,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY5,TANNIN4,0,2017,750
5739,147035,"Harmand Geoffroy, Mazis Chambertin",Harmand Geoffroy,France,Bourgogne,Pinot Noir,Red,Table,13.5,14~16,SWEET1,ACIDITY4,BODY5,TANNIN4,770000,2017,750
5740,147036,"Domaine Georges Lignier, Morey St Denis",Georges LignierDomaine Georges Lignier,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,153000,2016,750
5741,147037,"Domaine Georges Lignier, Chambolle Musigny",Georges LignierDomaine Georges Lignier,France,Bourgogne,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,210000,2014,750
5742,147038,"Domaine Georges Lignier, Morey St Denis 1er Cru 'Clos des Ormes'",Georges LignierDomaine Georges Lignier,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2014,750
5743,147039,"Domaine Georges Lignier, Clos St Denis Grand Cru",Georges LignierDomaine Georges Lignier,France,Bourgogne,Pinot Noir,Red,Table,13~14,15~17,SWEET1,ACIDITY4,BODY4,TANNIN3,358000,2013,750
5744,147040,"Domaine Georges Lignier, Clos de La Roche Grand Cru",Georges LignierDomaine Georges Lignier,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY4,TANNIN3,437000,2013,750
5745,147041,"Domaine Georges Lignier, Bonnes Mares Grand Cru",Georges LignierDomaine Georges Lignier,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY4,TANNIN3,612000,2008,750
5746,147042,"Domaine Taupenot Merme, Bourgogne Pinot Noir",Domaine TaupenotMerme,France,Bourgogne,Pinot Noir,Red,Table,12.5,15~17,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2007,750
5747,147043,"Domaine Taupenot Merme, Gevrey Chambertin",Domaine TaupenotMerme,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2004,750
5748,147044,"Domaine Taupenot Merme, Gevrey Chambertin 1er Cru 'Bel Air'",Domaine TaupenotMerme,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2002,750
5749,147046,"Domaine Taupenot Merme, Clos des Lambrays Grand Cru",Domaine TaupenotMerme,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN2,0,2003,750
5750,147048,"Domaine Taupenot Merme, Mazoyeres Chambertin Grand Cru",Domaine TaupenotMerme,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2002,750
5751,147049,"Domaine Jean Chauvenet, Nuits St Georges",Domaine Jean Chauvenet,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2005,750
5752,147050,"Domaine Jean Chauvenet, Nuits St Georges 1er Cru 'Les Damodes'",Domaine Jean Chauvenet,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN2,0,2006,750
5753,147051,"Domaine Jean Chauvenet, Vosne Romanee",Domaine Jean Chauvenet,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY5,BODY2,TANNIN2,0,2006,750
5754,147052,"Domaine Joseph Voillot, Volnay 'Vieilles Vignes'",Domaine Joseph Voillot,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,2006,750
5755,147053,"Domaine Joseph Voillot, Volnay 1er Cru 'Caillerets'",Domaine Joseph Voillot,France,Bourgogne,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN2,0,2006,750
5756,147054,"Domaine Joseph Voillot, Volnay 1er Cru 'Champans'",Domaine Joseph Voillot,France,Bourgogne,Pinot Noir,Red,Table,13,15~17,SWEET1,ACIDITY4,BODY2,TANNIN2,0,1983,750
