known.position
1
2
3
4
5
14681
14682
14683
14684
14685
14686
14687
14688
14689
14690
14691
14692
14693
68162
68165
68174
68185
68191
68206
68214
68267
68269
68286
68348
68370
68426
68441
68504
68507
68514
68515
68531
68543
68578
68593
68606
68651
68732
68851
68856
68868
68873
68887
68889
68903
68975
69131
69257
69610
69900
69986
70239
70247
70325
70361
70542
70543
70976
71024
71187
71366
71375
71407
71727
71761
71974
72095
72262
72311
72427
72833
72886
73102
73559
73980
75878
76104
76284
77034
77570
77867
79015
80523
80594
80637
80663
80664
80665
80666
80667
80668
80669
80670
80671
80672
80673
80674
80675
80676
80677
92520
92521
92522
92523
92524
92525
92526
92527
131859
131860
181459
181494
185042
185043
185044
185045
185046
185047
185048
185049
207169
207170
207171
207172
207173
207174
207175
207176
207177
207178
207179
207180
207181
207182
207183
207184
207185
207186
207187
207188
207189
207190
207191
207192
207193
207194
207195
207196
207197
207198
207199
207200
207201
207202
207203
207204
207205
207206
207207
207208
207209
207210
207211
207212
207213
207214
207215
207216
207217
207218
207219
207220
207221
207222
207223
207224
207225
207226
207227
207228
207229
207230
207231
207232
207233
207234
207235
207236
207237
207238
207239
207240
207241
207242
207243
207244
207245
207246
207247
207248
207249
207250
207251
207252
207253
207254
207255
207256
207257
207258
207259
207260
207261
207262
207263
207264
207265
207266
207267
207268
207269
207270
207271
207272
207273
207274
207275
207276
207277
207278
207279
207280
207281
207282
207283
207284
207285
207286
207287
207288
207289
207290
207291
207292
207293
207294
207295
207296
207297
207298
207299
207300
207301
207302
207303
207304
207305
207306
207307
207308
207309
207310
207311
207312
207313
207314
207315
207316
207317
207318
207319
207320
207321
207322
207323
207324
207325
207326
207327
207328
207329
207330
207331
207332
207333
207334
207335
207336
207337
207338
207339
207340
207341
207342
207343
207344
207345
207346
207347
207348
207349
207350
207351
207352
207353
207354
207355
207356
207357
207358
207359
207360
207361
207362
207363
207364
207365
207366
207367
207368
207369
207370
207371
207372
207373
207374
207375
207376
207377
207378
207379
207380
207381
207382
207383
207384
207385
207386
207387
207388
207389
207390
207391
207392
207393
207394
207395
207396
207397
207398
207399
207400
207401
207402
207403
207404
207405
207406
207407
207610
207611
207612
207613
207614
207615
207616
207617
207618
207619
207620
207621
207622
207623
207624
207625
207626
207627
207628
207629
207630
207631
207632
207633
207634
207635
207636
207637
207884
207885
207886
207887
207888
207889
207890
207891
207892
207893
207894
207895
207896
253212
253213
253601
254109
254156
254189
254660
254900
258874
260012
265186
269063
269064
269065
269066
277564
277565
277566
277623
277624
277625
277626
277627
277628
277629
303369
303370
303371
303372
303373
303374
303375
303376
303377
303378
345710
345764
345776
345782
345790
345792
345799
345829
345836
345837
345845
345884
345890
345891
345904
346053
346054
346055
346056
346057
346058
346059
346060
346061
346062
346063
346064
346065
346066
346067
346068
346069
346070
346071
346072
346073
346074
346075
346076
346077
346078
346079
346080
370081
415311
415312
415313
415314
415315
415316
415317
415318
415319
415320
415321
435929
440158
440303
441875
453895
457258
462596
462597
462598
462599
462600
462601
462602
462603
462604
462605
462606
462607
462608
462609
462610
462611
462612
462613
462614
462615
462616
462678
462679
462680
462681
462682
462683
530802
530831
530836
530904
530944
530950
530972
531074
531136
531161
531162
531163
531164
531165
531166
531167
531168
555131
555132
555133
555134
555135
555136
623252
623263
623275
623314
623321
623324
623329
623332
623345
623366
623378
623385
623387
623396
623398
623416
623417
623433
623460
623463
623464
623465
623466
623467
623468
623469
623470
623471
623472
623473
623474
623475
623476
623477
623478
623479
623480
623481
623482
623483
623484
623485
623486
623487
623488
623489
647645
647646
647647
647648
647649
